grouping_year,group,group_name,year,le_mean,le_ci_lower,le_ci_upper,le_q1,le_median,le_q3,obes_mean,obes_ci_lower,obes_ci_upper,obes_q1,obes_median,obes_q3
1990,0,Quintile 1 (poorest),1980,52.8433,43.0567,62.6299,44.2760,47.0970,52.0688,0.0167,-0.0046,0.0380,0.0111,0.0241,0.0394
1990,0,Quintile 1 (poorest),1981,53.3160,43.3518,63.2802,44.4710,47.6995,52.6238,0.0168,-0.0049,0.0386,0.0111,0.0242,0.0386
1990,0,Quintile 1 (poorest),1982,53.7297,43.6842,63.7752,44.8480,48.3350,53.1265,0.0170,-0.0051,0.0391,0.0112,0.0239,0.0376
1990,0,Quintile 1 (poorest),1983,54.1034,44.0309,64.1759,45.2152,48.5440,53.5968,0.0172,-0.0052,0.0396,0.0113,0.0236,0.0361
1990,0,Quintile 1 (poorest),1984,54.4566,44.3766,64.5366,45.5905,48.7575,54.0487,0.0174,-0.0052,0.0401,0.0117,0.0235,0.0346
1990,0,Quintile 1 (poorest),1985,54.7998,44.7197,64.8799,45.8675,49.2000,54.4825,0.0176,-0.0052,0.0405,0.0124,0.0235,0.0329
1990,0,Quintile 1 (poorest),1986,55.1406,45.0508,65.2305,46.0752,49.5085,54.8993,0.0179,-0.0051,0.0408,0.0134,0.0234,0.0323
1990,0,Quintile 1 (poorest),1987,55.4854,45.3516,65.6191,46.2852,49.5355,55.2965,0.0181,-0.0049,0.0411,0.0147,0.0234,0.0319
1990,0,Quintile 1 (poorest),1988,55.8339,45.5988,66.0689,46.4683,49.2170,55.5870,0.0184,-0.0047,0.0414,0.0162,0.0232,0.0317
1990,0,Quintile 1 (poorest),1989,56.1905,45.7724,66.6087,46.3590,49.0430,55.7450,0.0187,-0.0045,0.0418,0.0176,0.0228,0.0317
1990,0,Quintile 1 (poorest),1990,56.5610,45.8702,67.2517,46.3803,48.9180,55.9145,0.0189,-0.0043,0.0421,0.0187,0.0224,0.0316
1990,0,Quintile 1 (poorest),1991,56.9534,45.9364,67.9704,46.3685,48.9190,56.0755,0.0192,-0.0040,0.0424,0.0190,0.0230,0.0309
1990,0,Quintile 1 (poorest),1992,57.3737,46.0515,68.6959,46.4892,49.0430,56.1953,0.0195,-0.0039,0.0429,0.0186,0.0241,0.0308
1990,0,Quintile 1 (poorest),1993,57.8172,46.2727,69.3618,46.5637,49.2580,56.4430,0.0199,-0.0037,0.0435,0.0181,0.0242,0.0317
1990,0,Quintile 1 (poorest),1994,58.2747,46.6080,69.9415,46.5965,49.4500,57.2567,0.0204,-0.0034,0.0442,0.0181,0.0245,0.0342
1990,0,Quintile 1 (poorest),1995,58.7391,47.0344,70.4438,46.6003,49.4120,57.8023,0.0210,-0.0030,0.0450,0.0191,0.0255,0.0362
